size_sqft,num_bedrooms,age_years,price
767,2,39,160517.0
2821,5,31,616148.0
2463,3,12,550820.0
1816,4,38,398488.0
1799,3,19,433372.0
3075,2,20,616500.0
757,4,17,212347.0
2592,5,5,613548.0
1104,2,37,239740.0
782,4,0,240821.0
2079,2,6,450449.0
3426,4,9,766620.0
2707,4,11,640810.0
2783,3,5,606092.0
2652,4,0,633357.0
2858,2,27,596172.0
2039,1,38,409880.0
884,1,4,215007.0
3019,3,11,662283.0
1851,5,20,459701.0
2001,1,37,413440.0
1612,3,27,387885.0
1047,4,30,272061.0
3280,2,23,698086.0
2844,4,16,660959.0
2431,2,7,552285.0
1707,5,34,402820.0
2968,3,32,621151.0
2136,3,1,506698.0
1830,1,28,373539.0
1851,3,3,460544.0
1181,5,29,275025.0
776,1,33,177435.0
2163,4,5,512240.0
3163,3,17,704669.0
691,4,4,233463.0
3074,4,22,699110.0
2982,3,37,631862.0
1330,2,3,307919.0
2394,4,15,545296.0
995,1,38,184420.0
2774,3,12,609026.0
2601,1,5,595368.0
1563,4,19,383663.0
703,4,20,190116.0
3412,1,26,688194.0
1837,4,12,439892.0
3179,3,38,640552.0
2533,4,20,556533.0
2835,1,11,615180.0
2779,1,38,576130.0
1083,3,36,251731.0
1591,1,19,315331.0
1900,2,0,454566.0
1993,4,23,455181.0
631,1,22,159408.0
2139,4,5,534543.0
962,1,25,183951.0
2730,1,33,547633.0
2549,3,4,592664.0
3267,4,28,677676.0
2734,1,5,621439.0
1599,2,29,351825.0
3402,5,16,769099.0
1732,5,0,437836.0
1477,3,38,330606.0
3216,3,6,730227.0
1611,2,23,361193.0
729,4,7,228816.0
1908,3,37,410155.0
2887,2,29,590950.0
1068,1,32,223387.0
1888,1,17,409812.0
889,5,18,256551.0
2559,3,25,569297.0
1927,3,31,403022.0
1490,3,33,326625.0
1180,4,0,348222.0
2193,1,26,448446.0
2509,1,4,543466.0
3320,2,11,720535.0
1811,3,33,405366.0
982,4,10,271571.0
2998,3,31,653034.0
2389,3,18,543652.0
2600,5,9,619127.0
791,1,13,207012.0
1437,3,21,370815.0
2803,3,30,592523.0
2996,3,24,613147.0
1805,5,37,429564.0
2914,2,34,594935.0
3025,5,30,661618.0
1662,2,24,386043.0
3194,3,11,678266.0
1364,3,16,310025.0
1218,5,4,313581.0
2547,3,14,556488.0
2410,2,37,503095.0
919,1,17,226163.0
2998,2,4,667744.0
1099,5,26,259609.0
2914,1,38,551148.0
522,5,34,154215.0
2890,3,10,635923.0
2860,1,18,611891.0
2841,2,21,617229.0
2494,3,9,567374.0
1914,2,10,449202.0
2615,1,9,572938.0
1331,4,39,305651.0
2842,4,29,604330.0
2166,1,33,441006.0
1876,2,32,400152.0
2016,2,38,428508.0
2206,4,4,519294.0
611,4,35,167518.0
919,4,2,266812.0
1236,5,19,316937.0
843,4,23,236543.0
1818,2,14,382704.0
2505,1,5,534053.0
2463,4,7,549867.0
1913,5,32,399596.0
3065,5,12,684826.0
2195,2,12,502242.0
737,2,36,159127.0
2794,1,5,614267.0
2223,1,36,466938.0
2404,3,36,526715.0
2196,3,23,483663.0
2160,2,6,513304.0
771,2,6,216582.0
2177,5,11,506339.0
2884,3,23,613384.0
1411,5,6,350992.0
2308,5,18,521278.0
592,2,4,177030.0
1542,2,21,358954.0
1810,5,0,487812.0
3448,4,28,716867.0
1143,2,2,301492.0
1329,4,7,329692.0
1725,3,6,423120.0
3477,5,33,743934.0
3060,2,2,651536.0
604,5,17,209224.0
1201,5,23,296625.0
2965,1,20,614991.0
674,1,27,138254.0
3067,3,32,635586.0
1344,1,15,312718.0
3252,2,33,668061.0
1380,3,12,342930.0
1802,5,39,407329.0
2485,5,20,586810.0
878,1,29,186958.0
2171,5,35,459547.0
2015,1,31,432508.0
2851,4,34,604228.0
3488,5,21,782819.0
2492,5,1,602651.0
1727,2,19,384933.0
1719,5,7,438532.0
1753,1,35,387365.0
2942,3,9,686055.0
1463,3,9,360141.0
1000,2,9,258903.0
1502,1,25,339044.0
568,4,22,157915.0
818,2,37,183096.0
770,4,16,219612.0
2814,3,11,631009.0
2667,2,1,589399.0
2590,5,0,594156.0
1885,1,14,384905.0
2651,4,37,547939.0
983,4,20,249720.0
3201,2,35,653302.0
2003,2,4,493658.0
3314,1,3,734890.0
956,5,33,227269.0
1991,5,4,497416.0
2588,2,2,578494.0
1986,1,16,428935.0
1838,1,36,376380.0
998,1,27,228388.0
1643,5,3,419011.0
1216,5,33,309658.0
1404,1,33,274171.0
2551,4,32,552295.0
2390,1,36,522965.0
2321,2,9,524046.0
1585,3,39,359998.0
3379,4,12,749173.0
762,5,32,213112.0
1527,1,23,330048.0
854,1,31,181744.0
1516,2,25,324008.0
3385,2,25,715955.0
