size_sqft,num_bedrooms,age_years,price
4387,5,9,1213413.0
3166,4,5,906138.0
3845,5,2,1051050.0
3325,5,6,948201.0
2280,3,1,670819.0
3182,4,6,887372.0
4343,5,8,1201088.0
4424,3,6,1227303.0
4405,3,8,1222387.0
3460,5,9,990766.0
2646,4,7,733345.0
3334,4,4,978702.0
3554,6,7,1020038.0
2574,4,10,789418.0
4395,5,5,1234540.0
3297,4,1,953794.0
2749,4,4,792007.0
3062,6,8,903645.0
2087,4,9,644882.0
3447,4,8,981534.0
2725,3,10,788692.0
4312,5,7,1220651.0
2610,5,6,744720.0
2463,3,3,725409.0
3426,5,7,969960.0
2635,6,7,792051.0
2726,5,2,790985.0
2855,6,2,869458.0
3658,4,3,1028335.0
2529,4,0,779045.0
4248,6,11,1192720.0
2745,6,9,823286.0
3890,5,3,1087284.0
4327,5,4,1221841.0
3672,4,10,1018630.0
2820,5,2,839128.0
3603,4,1,1047313.0
3891,4,8,1106587.0
3858,4,6,1074943.0
1909,5,4,572547.0
2047,5,1,625316.0
2606,4,6,742726.0
2758,5,2,829666.0
3696,5,3,1061635.0
2044,4,7,619767.0
3021,4,1,852247.0
3948,4,3,1097337.0
4202,6,2,1184999.0
1974,4,5,600574.0
2974,5,3,874092.0
2602,5,11,726814.0
3483,4,6,1005561.0
4043,6,0,1190340.0
3380,4,7,931191.0
3385,5,10,951758.0
3417,5,11,983187.0
2596,4,8,741374.0
3570,6,7,1022126.0
2253,5,2,679627.0
3180,3,11,862901.0
4255,3,2,1174700.0
2322,3,2,662089.0
2036,4,3,609114.0
1986,4,1,604867.0
1879,5,7,581961.0
2480,3,1,724451.0
2551,3,6,723038.0
2057,6,4,641834.0
4050,3,10,1148345.0
2105,5,4,628202.0
2563,4,0,708983.0
2557,6,9,744817.0
3320,3,1,923107.0
3399,6,0,966888.0
2966,5,3,857792.0
2726,3,7,764994.0
3599,5,9,1020905.0
3900,6,11,1114563.0
3055,4,6,911605.0
4406,4,4,1239061.0
3874,4,9,1082425.0
2695,3,6,741272.0
4392,4,11,1192187.0
2437,6,7,714765.0
3665,4,2,1034523.0
3657,6,7,1020124.0
2628,5,1,784249.0
3346,6,6,990959.0
2735,6,6,819526.0
3877,6,4,1131953.0
2613,3,10,740163.0
3465,6,4,1012487.0
3176,3,0,906890.0
2554,4,1,762699.0
4213,6,9,1205743.0
4259,3,9,1155740.0
3167,6,7,900754.0
3346,3,11,917427.0
2547,3,7,747138.0
3739,5,1,1078381.0
4053,6,9,1165517.0
3615,4,1,1015061.0
2999,3,4,855081.0
3878,5,11,1099219.0
2713,6,7,776203.0
3831,6,0,1099885.0
2270,6,9,691608.0
2907,4,10,834363.0
3524,6,6,1005768.0
1902,6,11,584970.0
3813,3,6,1072989.0
3109,5,8,904250.0
3169,4,8,913104.0
4217,6,3,1208091.0
2651,3,9,754414.0
2190,5,9,663819.0
2171,4,1,650166.0
3911,6,7,1089898.0
2775,6,11,819084.0
3569,4,8,984671.0
1954,6,7,589982.0
3705,6,5,1058178.0
4161,3,3,1169184.0
2388,4,3,703760.0
4209,6,10,1222532.0
2003,3,11,595931.0
2771,4,11,795667.0
2523,5,6,717254.0
2571,5,9,767084.0
3482,3,4,987578.0
3851,3,11,1072227.0
2849,6,2,850141.0
2425,4,1,714519.0
2487,5,8,742055.0
2798,5,11,797607.0
2872,4,1,817501.0
4453,5,7,1263656.0
3765,6,7,1069718.0
2985,6,10,863452.0
2489,6,6,753855.0
1823,5,9,587094.0
3270,4,11,952340.0
1839,6,0,601237.0
2897,5,9,812574.0
2438,4,8,731871.0
4481,4,3,1276223.0
4499,5,0,1271636.0
4105,3,5,1151158.0
3160,4,0,896285.0
3750,3,11,1028408.0
2934,4,8,839425.0
3286,6,9,950556.0
2062,5,3,630684.0
2875,4,1,841775.0
3181,4,0,914785.0
3630,4,8,1042616.0
2747,3,7,759262.0
4073,4,9,1155826.0
2655,3,6,777616.0
2177,4,11,639840.0
4125,3,3,1144170.0
1907,4,9,582960.0
2885,6,3,848488.0
3040,6,11,893299.0
1834,5,9,566786.0
2528,5,11,728079.0
4044,3,5,1146692.0
4189,5,1,1200096.0
2912,6,5,864238.0
2512,6,11,773613.0
2532,6,8,778192.0
4265,3,0,1186337.0
4355,5,10,1219854.0
3152,6,8,920969.0
3033,3,3,872934.0
4054,3,10,1132669.0
2581,3,7,746705.0
3023,3,4,862637.0
3002,3,0,840578.0
3733,5,10,1051335.0
1930,5,7,585489.0
4440,4,8,1230325.0
3832,3,8,1053840.0
2248,5,7,668432.0
3785,4,10,1042772.0
2496,6,7,749053.0
2901,4,0,826479.0
3192,6,1,962837.0
3666,4,5,1030174.0
2821,3,11,818348.0
2391,3,6,691197.0
3964,5,8,1120316.0
2056,6,8,654985.0
4293,4,10,1188793.0
4096,6,9,1189184.0
3346,5,4,953247.0
2990,4,0,874974.0
2158,5,1,669363.0
3999,5,0,1141782.0
2816,6,8,822017.0
