Name                                      CurrentValue    Limit
----------------------------------------  --------------  -------
Total Regional Low-priority vCPUs         0               3
Total Regional vCPUs                      0               10
Virtual Machines                          0               25000
Availability Sets                         0               2500
Virtual Machine Scale Sets                0               2500
Dedicated vCPUs                           0               3000
Cloud Services                            0               2500
Basic A Family vCPUs                      0               10
Standard A0-A7 Family vCPUs               0               10
Standard A8-A11 Family vCPUs              0               10
Standard Av2 Family vCPUs                 0               10
Standard BS Family vCPUs                  0               10
Standard Basv2 Family vCPUs               0               0
Standard Bsv2 Family vCPUs                0               0
Standard Bpsv2 Family vCPUs               0               0
Standard D Family vCPUs                   0               10
Standard Dv2 Family vCPUs                 0               10
Standard Dv2 Promo Family vCPUs           0               10
Standard Dadsv7 Family vCPUs              0               10
Standard Daldsv7 Family vCPUs             0               10
Standard Dalsv7 Family vCPUs              0               10
Standard Dasv7 Family vCPUs               0               10
Standard Ddsv6 Family vCPUs               0               10
Standard Ddsv7 Family vCPUs               0               10
Standard Dldsv6 Family vCPUs              0               10
Standard Dldsv7 Family vCPUs              0               10
Standard Dlsv6 Family vCPUs               0               10
Standard Dlsv7 Family vCPUs               0               10
Standard Dndv6 Family vCPUs               0               10
Standard Dnldv6 Family vCPUs              0               10
Standard Dnlv6 Family vCPUs               0               10
Standard Dnv6 Family vCPUs                0               10
Standard Dsv6 Family vCPUs                0               10
Standard Dsv7 Family vCPUs                0               10
Standard DADSv5 Family vCPUs              0               0
standard Dadv6 Family vCPUs               0               10
standard Daldv6 Family vCPUs              0               10
standard Dalv6 Family vCPUs               0               10
Standard DASv4 Family vCPUs               0               10
Standard DASv5 Family vCPUs               0               0
standard Dav6 Family vCPUs                0               10
Standard DAv4 Family vCPUs                0               0
Standard DDSv4 Family vCPUs               0               10
Standard DDSv5 Family vCPUs               0               0
Standard DDv4 Family vCPUs                0               10
Standard DDv5 Family vCPUs                0               0
Standard DLDSv5 Family vCPUs              0               0
Standard DLSv5 Family vCPUs               0               0
Standard DPDSv5 Family vCPUs              0               0
Standard Dpdsv6 Family vCPUs              0               10
Standard DPLDSv5 Family vCPUs             0               0
Standard Dpldsv6 Family vCPUs             0               10
Standard DPLSv5 Family vCPUs              0               0
Standard Dplsv6 Family vCPUs              0               10
Standard DPSv5 Family vCPUs               0               0
Standard Dpsv6 Family vCPUs               0               10
Standard DSv3 Family vCPUs                0               10
Standard DSv4 Family vCPUs                0               10
Standard DSv5 Family vCPUs                0               0
Standard Dv3 Family vCPUs                 0               10
Standard Dv4 Family vCPUs                 0               10
Standard Dv5 Family vCPUs                 0               0
